Source,Target,Weight,Relation
ROMUALD,PETER,3,Liking 1
ROMUALD,VICTOR,1,Liking 1
ROMUALD,HUGH,2,Liking 1
BONAVENTURE,PETER,3,Liking 1
BONAVENTURE,LOUIS,2,Liking 1
BONAVENTURE,AMAND,1,Liking 1
AMBROSE,BONAVENTURE,2,Liking 1
AMBROSE,VICTOR,3,Liking 1
AMBROSE,ALBERT,1,Liking 1
BERTHOLD,AMBROSE,2,Liking 1
BERTHOLD,PETER,3,Liking 1
BERTHOLD,JOHN_BOSCO,1,Liking 1
PETER,ROMUALD,2,Liking 1
PETER,BONAVENTURE,3,Liking 1
PETER,BERTHOLD,1,Liking 1
LOUIS,BONAVENTURE,3,Liking 1
LOUIS,VICTOR,1,Liking 1
LOUIS,HUGH,2,Liking 1
VICTOR,AMBROSE,1,Liking 1
VICTOR,JOHN_BOSCO,3,Liking 1
VICTOR,GREGORY,2,Liking 1
WINFRID,JOHN_BOSCO,3,Liking 1
WINFRID,GREGORY,2,Liking 1
WINFRID,HUGH,1,Liking 1
JOHN_BOSCO,BONAVENTURE,3,Liking 1
JOHN_BOSCO,HUGH,1,Liking 1
JOHN_BOSCO,BASIL,2,Liking 1
GREGORY,JOHN_BOSCO,3,Liking 1
GREGORY,HUGH,1,Liking 1
GREGORY,MARK,2,Liking 1
HUGH,LOUIS,1,Liking 1
HUGH,WINFRID,2,Liking 1
HUGH,JOHN_BOSCO,3,Liking 1
HUGH,BONIFACE,2,Liking 1
BONIFACE,JOHN_BOSCO,3,Liking 1
BONIFACE,GREGORY,2,Liking 1
BONIFACE,HUGH,1,Liking 1
MARK,VICTOR,1,Liking 1
MARK,GREGORY,2,Liking 1
MARK,ALBERT,3,Liking 1
ALBERT,JOHN_BOSCO,1,Liking 1
ALBERT,GREGORY,2,Liking 1
ALBERT,MARK,3,Liking 1
AMAND,BONAVENTURE,2,Liking 1
AMAND,MARK,1,Liking 1
AMAND,SIMPLICIUS,3,Liking 1
BASIL,JOHN_BOSCO,2,Liking 1
BASIL,GREGORY,3,Liking 1
BASIL,ELIAS,1,Liking 1
ELIAS,AMAND,2,Liking 1
ELIAS,BASIL,3,Liking 1
ELIAS,SIMPLICIUS,1,Liking 1
SIMPLICIUS,JOHN_BOSCO,2,Liking 1
SIMPLICIUS,GREGORY,3,Liking 1
SIMPLICIUS,MARK,1,Liking 1
